"Name","Company","State","City","Salary","Location","Url"
"Senior Software Engineer Javascript"," Episerver  ","Sweden","Stockholm","","Stockholm","https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=322767&s=58&guid=00000165674f3478ae30eb9a89a4601a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_ca6c070c&cb=1535036569003&jobListingId=2849871824"
"Senior Vice President of Software Engineering & Operations ($400K/yr) - Exclusive Hiring Event"," Crossover for Work  ","Sweden","Stockholm","","Stockholm","https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=370657&s=58&guid=00000165674f3478ae30eb9a89a4601a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4bdc1d37&cb=1535036569004&jobListingId=2828785757"
"Full-stack software engineer"," Limina  ","Sweden","Stockholm","","Stockholm","https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=124245&s=58&guid=00000165674f3478ae30eb9a89a4601a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_63faebce&cb=1535036569006&jobListingId=2811566661"
"Software Engineering Intern, PhD"," Google  ","Sweden","Stockholm","","Stockholm","https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=191997&s=58&guid=00000165674f3478ae30eb9a89a4601a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f831db83&cb=1535036569008&jobListingId=2723082274"
"Account Executive"," Questback  ","Sweden","Sweden","","Sweden","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=284182&s=58&guid=00000165674f3be99aba7d88ee79f43f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_a03bb3fc&cb=1535036570893&jobListingId=2608178788"
"Senior Game Developer"," Snowprint Studios AB  ","Sweden","Stockholm","","Stockholm","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=395129&s=58&guid=00000165674f3be99aba7d88ee79f43f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_0e0b9f1c&cb=1535036570895&jobListingId=2908335053"
"Software Engineer - Backend"," Spotify  We're Hiring","Sweden","Stockholm","","Stockholm","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=347865&s=58&guid=00000165674f3be99aba7d88ee79f43f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_731c896a&cb=1535036570895&jobListingId=2845400385"
"Customer Solutions Consultant"," Aptean  New","Sweden","Hässleholm","","Hässleholm","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=361809&s=58&guid=00000165674f3be99aba7d88ee79f43f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3d593eed&cb=1535036570896&jobListingId=2827044272"
"Junior Full-Stack Web Developer [Uplay]"," Ubisoft  We're Hiring","Sweden","Malmö","","Malmö","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=327039&s=58&guid=00000165674f3be99aba7d88ee79f43f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_bfa8c0b1&cb=1535036570897&jobListingId=2860035133"
"Software Developer"," FLIR  We're Hiring","Sweden","Täby","","Täby","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=225834&s=58&guid=00000165674f3be99aba7d88ee79f43f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d11f5320&cb=1535036570898&jobListingId=2782768509"
