"Name","Company","State","City","Salary","Location","Url"
"Senior Software Engineer IPI"," UBS  ","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=336265&s=58&guid=00000165674e47859ee5ae1c17c7dbe7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_723ab78e&cb=1535036508237&jobListingId=2857992757"
"Java/JavaScript Software Engineer"," Luxoft  New","Switzerland","Zug","","Zug","https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=312636&s=58&guid=00000165674e47859ee5ae1c17c7dbe7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ad2823f2&cb=1535036508239&jobListingId=2855650127"
"Software Developer - 3D Visualization"," Esri  New","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=177702&s=58&guid=00000165674e47859ee5ae1c17c7dbe7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9eaed190&cb=1535036508240&jobListingId=2906664227"
"Software Engineer","  ","Switzerland","St. Gall","","St. Gall","https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=112088&s=58&guid=00000165674e47859ee5ae1c17c7dbe7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ff0ac2c0&cb=1535036508241&jobListingId=2885603421"
"Technical Designer"," Unispace  ","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=329566&s=58&guid=00000165674e4a92b8eb79b97373f223&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_9730d8de&cb=1535036508962&jobListingId=2582312204"
"Software Engineer"," Cisco Systems  Award Winner","Switzerland","Ecublens","","Ecublens","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=354908&s=58&guid=00000165674e4a92b8eb79b97373f223&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c4b6611d&cb=1535036508964&jobListingId=2640583383"
"Software Development Engineer I"," Expedia  Award Winner","Switzerland","Geneva","","Geneva","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=303301&s=58&guid=00000165674e4a92b8eb79b97373f223&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1391435c&cb=1535036508965&jobListingId=2854918522"
"Technician, Product Development"," Power Integrations  ","Switzerland","Biel","","Biel","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=285425&s=58&guid=00000165674e4a92b8eb79b97373f223&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9eda919c&cb=1535036508966&jobListingId=2846236729"
"Data Scientist II - Machine Learning"," Expedia  Award Winner","Switzerland","Geneva","","Geneva","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=303301&s=58&guid=00000165674e4a92b8eb79b97373f223&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_812200c0&cb=1535036508967&jobListingId=2854918586"
"System Software Engineer"," NVIDIA  Award Winner","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=284597&s=58&guid=00000165674e4a92b8eb79b97373f223&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_259a81f2&cb=1535036508968&jobListingId=2599397432"
"Software Engineer"," XY Group  ","Switzerland","Chiasso","","Chiasso","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=138360&s=58&guid=00000165674e4a92b8eb79b97373f223&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0752b3aa&cb=1535036508968&jobListingId=2873770448"
"Software Developer"," Source Technology  ","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=70759&s=58&guid=00000165674e4a92b8eb79b97373f223&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e852f15c&cb=1535036508970&jobListingId=2902593096"
"Software Engineer"," Swisslinx  New","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=138360&s=58&guid=00000165674e4a92b8eb79b97373f223&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2bbccb8b&cb=1535036508975&jobListingId=2907286589"
"Application Architect / Software Developer"," Amazon  Award Winner","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=295207&s=58&guid=00000165674e4a92b8eb79b97373f223&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0daccdbc&cb=1535036508976&jobListingId=2883000763"
"EVP of Software Engineering and Operations ($800K/yr) - Exclusive Hiring Event"," Crossover for Work  New","Switzerland","Geneva","","Geneva","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=370675&s=58&guid=00000165674e4a92b8eb79b97373f223&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4f0da857&cb=1535036508976&jobListingId=2828785499"
"Software Engineer"," Google  Award Winner","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=191997&s=58&guid=00000165674e4a92b8eb79b97373f223&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e765b5c1&cb=1535036508977&jobListingId=2723096093"
"Scientific Software Developer - Lab Instruments Integration"," Roche  Award Winner","Switzerland","Basel","","Basel","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=301852&s=58&guid=00000165674e4a92b8eb79b97373f223&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9a5c0c3b&cb=1535036508978&jobListingId=2673528414"
"Software Engineer"," Appway  ","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=319052&s=58&guid=00000165674e4a92b8eb79b97373f223&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_524135a4&cb=1535036508978&jobListingId=2864645126"
"Software Engineer, Automation"," Facebook  Award Winner","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=282723&s=58&guid=00000165674e4a92b8eb79b97373f223&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3a20ae87&cb=1535036508980&jobListingId=2670144229"
"Software Developer 2"," Oracle  Award Winner","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=354498&s=58&guid=00000165674e4a92b8eb79b97373f223&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_65c63527&cb=1535036508980&jobListingId=2866799595"
"Software Developer 3"," Oracle  ","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=354498&s=58&guid=00000165674e4a92b8eb79b97373f223&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0cfff53d&cb=1535036508981&jobListingId=2792494959"
"Technology Senior C++/Java Software Engineer"," UBS  ","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=336265&s=58&guid=00000165674e4a92b8eb79b97373f223&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0204ec7e&cb=1535036508982&jobListingId=2858219148"
"Senior Vice President of Software Engineering & Operations ($400K/yr) - Exclusive Hiring Event"," Crossover for Work  ","Switzerland","Basel","","Basel","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=370657&s=58&guid=00000165674e4a92b8eb79b97373f223&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c44aa9b0&cb=1535036508983&jobListingId=2828785779"
"IT Software Engineer"," UBS  ","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=336265&s=58&guid=00000165674e4a92b8eb79b97373f223&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_02827e4b&cb=1535036508985&jobListingId=2813774900"
"Backend Software Engineer"," Luxoft  New","Switzerland","Zug","","Zug","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=312636&s=58&guid=00000165674e4a92b8eb79b97373f223&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f134d686&cb=1535036508986&jobListingId=2855655102"
"Senior Software Engineer IMI"," UBS  ","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=336265&s=58&guid=00000165674e4a92b8eb79b97373f223&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e6084611&cb=1535036508987&jobListingId=2851409180"
"Software Engineer, Mixed Reality"," Facebook  Hot","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=282723&s=58&guid=00000165674e4a92b8eb79b97373f223&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_cd899797&cb=1535036508988&jobListingId=2702595242"
"Software Engineer Big Data Platform & Analytics"," Credit Suisse  ","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=273333&s=58&guid=00000165674e4a92b8eb79b97373f223&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0a5c136c&cb=1535036508989&jobListingId=2757049078"
"Software Sales Account Executive, Dell Boomi"," Dell  ","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=325157&s=58&guid=00000165674e4a92b8eb79b97373f223&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_272479d0&cb=1535036508990&jobListingId=2857278442"
"Software Developer – Virtual Reality, Game Engines, High-end 3D Graphics"," Esri  New","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=177702&s=58&guid=00000165674e4a92b8eb79b97373f223&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8d72378c&cb=1535036508991&jobListingId=2682405528"
