Name,Company,State,City,Salary,Location,Url
"Software Engineering Intern, PhD", Google  New,Denmark,Aarhus,,Aarhus,https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=191997&s=58&guid=0000016567516ee7b36fd41aea3ab548&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e80e88b7&cb=1535036714973&jobListingId=2723082455
Software Engineer (Back-End), Pleo  ,Denmark,Copenhagen,,Copenhagen,https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=14295&s=58&guid=0000016567516ee7b36fd41aea3ab548&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b619687d&cb=1535036714974&jobListingId=2607317535
"Software Director, Odense, Denmark", Universal Robots A/S  We're Hiring,Denmark,Odense,,Odense,https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=328644&s=58&guid=0000016567516ee7b36fd41aea3ab548&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_88d65d15&cb=1535036714975&jobListingId=2746517352
Forward Deployed Software Engineer, Palantir Technologies  ,Denmark,Copenhagen,,Copenhagen,https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=85944&s=58&guid=0000016567516ee7b36fd41aea3ab548&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ddb32c10&cb=1535036714976&jobListingId=1954690379
"0365 Consultant, Software Engineering", Avanade  New,Denmark,Copenhagen,,Copenhagen,https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=259081&s=58&guid=0000016567516ee7b36fd41aea3ab548&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_16c00744&cb=1535036714977&jobListingId=2908462751
Sr. QA/Automated Tester- Denmark, Roku  ,Denmark,Aarhus,,Aarhus,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=294934&s=58&guid=000001656751745f968ec6a93f5d026f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_b03f68b2&cb=1535036716451&jobListingId=2648627833
Senior Product Manager (Copenhagen or London), Sitecore  ,Denmark,Copenhagen,,Copenhagen,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=311703&s=58&guid=000001656751745f968ec6a93f5d026f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f1c6df23&cb=1535036716453&jobListingId=2850875358
Software Engineer - Denmark, Roku  ,Denmark,Aarhus,,Aarhus,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=294943&s=58&guid=000001656751745f968ec6a93f5d026f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_aa2cd8a2&cb=1535036716454&jobListingId=2669548707
Back-end Developer, Siteimprove  Hot,Denmark,Copenhagen,,Copenhagen,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=297457&s=58&guid=000001656751745f968ec6a93f5d026f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_267408ef&cb=1535036716456&jobListingId=2678433025
Senior Software Engineer, Motorola Solutions  We're Hiring,Denmark,Glostrup,,Glostrup,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=318973&s=58&guid=000001656751745f968ec6a93f5d026f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_50a750ac&cb=1535036716456&jobListingId=2826429880
